Sensor,Latitude,Longitude, Elevation, Date,Time,DateTime
01OBS,38.50949,-106.93991,7657,02/16/2022,0:00:24,15-FEB-22 4:10:35PM
02FAI,38.54062,-106.9284,7694,02/15/2022,0:34:29,14-FEB-22 5:25:20PM
03IBA,38.54087,-106.90678,7707,02/15/2022,0:34:29,14-FEB-22 11:28:26AM
04MIB,38.70076,-107.02626,8465,02/26/2022,16:45:44,25-FEB-22 4:45:00PM
05VAN,38.55585,-106.93838,7758,02/15/2022,0:34:29,14-FEB-22 10:32:15AM
06MYS,38.584,-106.91901,7788,02/16/2022,0:00:24,15-FEB-22 4:35:09PM
07PAR,38.5656,-106.94043,7724,02/17/2022,22:54:24,17-FEB-22 4:00:46PM
08CHI,38.58282,-106.92633,7772,02/15/2022,0:34:29,14-FEB-22 3:36:16PM
09MIC,38.71917,-106.99816,8478,02/18/2022,23:16:45,18-FEB-22 4:11:30PM
10NEM,38.59285,-106.92626,7807,02/15/2022,19:37:48,15-FEB-22 1:23:34PM
11MAG,38.6239,-106.94113,7904,02/15/2022,19:48:19,2022-02-15 12:20
12FAV,38.64955,-106.94685,8030,02/16/2022,22:50:13,16-FEB-22 3:22:11PM
13EAG,38.67508,-106.98376,8124,02/16/2022,22:50:13,16-FEB-22 3:56:22PM
14MIA,38.70238,-107.00021,8257,02/26/2022,16:45:44,25-FEB-22 2:46:15PM
15CAS,38.73612,-107.03187,8448,02/18/2022,23:16:45,18-FEB-22 3:28:03PM
16BAL,38.75819,-107.04936,8600,02/18/2022,23:16:45,18-FEB-22 2:08:42PM
17WIL,38.77481,-107.06917,8745,02/18/2022,23:16:45,18-FEB-22 2:34:09PM
18ALL,38.6167,-106.90837,7878,02/15/2022,0:34:29,14-FEB-22 12:00:30PM
19ROC,38.61066,-106.88589,7908,02/15/2022,19:37:48,15-FEB-22 12:00:45PM
20LOS,38.64281,-106.86569,7987,02/15/2022,19:37:48,15-FEB-22 12:19:23PM
21ALM,38.66134,-106.84723,8046,02/15/2022,19:37:48,15-FEB-22 12:34:05PM
22CRA,38.59877,-106.89007,7847,02/16/2022,0:00:24,15-FEB-22 3:28:24PM
23TRA,38.60136,-106.90439,7874,02/16/2022,22:50:13,16-FEB-22 2:29:31PM
24CAM,38.60075,-106.94217,7906,02/15/2022,0:34:29,14-FEB-22 3:20:15PM
25MEA,38.53937,-106.95069,7700,02/15/2022,0:34:29,14-FEB-22 11:03:29AM
26CRB,38.586,-106.892,7999,10/23/2022,15:40:24,Oct-22
27CHR,38.52242,-106.80191,7882,10/23/2022,15:37:48,13-OCT-22 5:06:19PM
28TOM,38.54018,-106.8555,7765,10/23/2022,15:42:49,Oct-22
29CAB,38.71671,-107.00556,8325,10/23/2022,15:37:48,14-OCT-22 1:25:51PM
30HIN,38.6876,-106.9903,8148,10/23/2022,15:44:07,Oct-22
